COD_GRUPO_N0,DES_GRUPO_N0,COD_GRUPO_N1,DES_GRUPO_N1,COD_GRUPO_N2,DES_GRUPO_N2,COD_CADENA,DES_CADENA,FORTA,FECHA_INI,FECHA_FIN
TTV,,MEDIASET,,Módulo T5,,254,BEMADtv,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,BOING,,99,BOING,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Grupo Cuatro,,83,CUATRO,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,102,DIVINITY,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,123,ENERGY,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,93,FDF,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Grupo Cuatro,,260,GOL,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Grupo Cuatro,,92,LA SIETE,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,124,NUEVE,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,70,T5,0,01/01/1999,31/12/2999
TTV,,MEDIASET,,Módulo T5,,164,TNT,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,91,A3 NOVA,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,196,A3 PREMIUM,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,71,ANTENA 3,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,252,ATRESERIES,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,104,LA SEXTA 3,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,240,MEGA,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,100,NITRO,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta A3,,103,XPLORA,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta L6,,90,A3 NEOX,0,01/01/1999,31/12/2999
TTV,,G A3,,Pauta L6,,84,LA SEXTA,0,01/01/1999,31/12/2999
TTV,,DISNEY CHANNEL,,DISNEY CHANNEL,,98,DISNEY,0,01/01/1999,31/12/2999
TTV,,DISNEY CHANNEL,,DISNEY CHANNEL,,118,DISNEY CH1,0,01/01/1999,31/12/2999
TTV,,DISNEY CHANNEL,,DISNEY CHANNEL,,115,DISNEY CINEMAGIC,0,01/01/1999,31/12/2999
TTV,,DISNEY CHANNEL,,DISNEY CHANNEL,,116,DISNEY XD,0,01/01/1999,31/12/2999
TTV,,DISNEY CHANNEL,,DISNEY CHANNEL,,117,PLAYHOUSE DISNEY,0,01/01/1999,31/12/2999
TTV NIÑOS,,DISNEY CHANNEL,,DISNEY ABIERTO,,98,DISNEY,0,01/01/1999,31/12/2999
TTV NIÑOS,,DISNEY CHANNEL,,DISNEY PAGO,,118,DISNEY CH1,0,01/01/1999,31/12/2999
TTV NIÑOS,,DISNEY CHANNEL,,DISNEY PAGO,,115,DISNEY CINEMAGIC,0,01/01/1999,31/12/2999
TTV NIÑOS,,DISNEY CHANNEL,,DISNEY PAGO,,116,DISNEY XD,0,01/01/1999,31/12/2999
TTV NIÑOS,,DISNEY CHANNEL,,DISNEY PAGO,,117,PLAYHOUSE DISNEY,0,01/01/1999,31/12/2999
,,RESTO MEDIASET OTROS,,,,260,GOL,0,01/01/1999,31/12/2999
,,RESTO MEDIASET OTROS,,,,164,TNT,0,01/01/1999,31/12/2999
,,PULSA,,,,119,13 TV,0,01/01/1999,31/12/2999
,,PULSA,,,,153,A&E,0,01/01/1999,31/12/2999
,,PULSA,,,,233,AMC,0,01/01/1999,31/12/2999
,,PULSA,,,,192,ANIMAX,0,01/01/1999,31/12/2999
,,PULSA,,,,152,AXN,0,01/01/1999,31/12/2999
,,PULSA,,,,169,AXN WHITE,0,01/01/1999,31/12/2999
,,PULSA,,,,297,BLAZE,0,01/01/1999,31/12/2999
,,PULSA,,,,150,CALLE 13,0,01/01/1999,31/12/2999
,,PULSA,,,,139,CANAL COCINA,0,01/01/1999,31/12/2999
,,PULSA,,,,140,CANAL HOLLYWOOD,0,01/01/1999,31/12/2999
,,PULSA,,,,141,CANAL HOLLYWOOD +1,0,01/01/1999,31/12/2999
,,PULSA,,,,185,COMEDY CENTRAL,0,01/01/1999,31/12/2999
,,PULSA,,,,155,COSMOPOLITAN,0,01/01/1999,31/12/2999
,,PULSA,,,,163,CRIMEN & INVESTIGACION,0,01/01/1999,31/12/2999
,,PULSA,,,,288,DARK,0,01/01/1999,31/12/2999
,,PULSA,,,,142,DECASA,0,01/01/1999,31/12/2999
,,PULSA,,,,156,DISCOVERY,0,01/01/1999,31/12/2999
,,PULSA,,,,258,DKISS,0,01/01/1999,31/12/2999
,,PULSA,,,,279,DMAX,0,01/01/1999,31/12/2999
,,PULSA,,,,259,EUROSPORT,0,01/01/1999,31/12/2999
,,PULSA,,,,157,FOX,0,01/01/1999,31/12/2999
,,PULSA,,,,158,FOX CRIME,0,01/01/1999,31/12/2999
,,PULSA,,,,200,FOX LIFE,0,01/01/1999,31/12/2999
,,PULSA,,,,290,FOX NEWS,0,01/01/1999,31/12/2999
,,PULSA,,,,154,HISTORIA,0,01/01/1999,31/12/2999
,,PULSA,,,,182,MTV,0,01/01/1999,31/12/2999
,,PULSA,,,,198,MTV ESP,0,01/01/1999,31/12/2999
,,PULSA,,,,291,MTV ROCKS,0,01/01/1999,31/12/2999
,,PULSA,,,,159,NATIONAL GEOGRAPHIC,0,01/01/1999,31/12/2999
,,PULSA,,,,161,NATURA,0,01/01/1999,31/12/2999
,,PULSA,,,,160,NGC WILD,0,01/01/1999,31/12/2999
,,PULSA,,,,183,NICK,0,01/01/1999,31/12/2999
,,PULSA,,,,257,NICK JR,0,01/01/1999,31/12/2999
,,PULSA,,,,162,ODISEA,0,01/01/1999,31/12/2999
,,PULSA,,,,145,PANDA,0,01/01/1999,31/12/2999
,,PULSA,,,,184,PARAMOUNT CHANNEL,0,01/01/1999,31/12/2999
,,PULSA,,,,256,REAL MADRID HD,0,01/01/1999,31/12/2999
,,PULSA,,,,146,SOL MUSICA,0,01/01/1999,31/12/2999
,,PULSA,,,,147,SOMOS,0,01/01/1999,31/12/2999
,,PULSA,,,,280,SUNDANCE TV,0,01/01/1999,31/12/2999
,,PULSA,,,,151,SYFY,0,01/01/1999,31/12/2999
,,PULSA,,,,255,TEN,0,01/01/1999,31/12/2999
,,PULSA,,,,166,VIAJAR,0,01/01/1999,31/12/2999
,,PULSA,,,,143,XTRM,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,119,13 TV,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,258,DKISS,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,279,DMAX,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,184,PARAMOUNT CHANNEL,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,256,REAL MADRID HD,0,01/01/1999,31/12/2999
,,PULSA ABIERTO,,,,255,TEN,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,153,A&E,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,233,AMC,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,192,ANIMAX,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,152,AXN,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,169,AXN WHITE,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,297,BLAZE,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,150,CALLE 13,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,139,CANAL COCINA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,140,CANAL HOLLYWOOD,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,141,CANAL HOLLYWOOD +1,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,185,COMEDY CENTRAL,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,155,COSMOPOLITAN,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,163,CRIMEN & INVESTIGACION,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,288,DARK,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,142,DECASA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,156,DISCOVERY,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,259,EUROSPORT,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,157,FOX,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,158,FOX CRIME,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,200,FOX LIFE,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,290,FOX NEWS,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,154,HISTORIA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,182,MTV,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,198,MTV ESP,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,291,MTV ROCKS,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,159,NATIONAL GEOGRAPHIC,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,161,NATURA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,160,NGC WILD,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,183,NICK,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,257,NICK JR,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,162,ODISEA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,145,PANDA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,146,SOL MUSICA,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,147,SOMOS,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,280,SUNDANCE TV,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,151,SYFY,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,166,VIAJAR,0,01/01/1999,31/12/2999
,,PULSA PAGO,,,,143,XTRM,0,01/01/1999,31/12/2999
,,G NEOX,,,,90,A3 NEOX,0,01/01/1999,31/12/2999
,,G Super3/33,,,,109,SUPER3,0,01/01/1999,31/12/2999
,,G NICK,,,,183,NICK,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,193,BOOMERANG,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,194,BOOMERANG +1,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,171,CARTOON NETWORK,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,172,CARTOON NETWORK +1,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,173,CARTOONITO,0,01/01/1999,31/12/2999
,,TURNER NIÑOS,,,,174,CARTOONITO +1,0,01/01/1999,31/12/2999
,,G PANDA,,,,145,PANDA,0,01/01/1999,31/12/2999
,,G MOVISTAR DISNEY,,,,294,MOVISTAR DISNEY,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,253,#0,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,249,ABONO FUTBOL,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,250,ABONO FUTBOL 1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,262,BEIN LIGA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,265,BEIN LIGA1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,263,BEIN MAX1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,264,BEIN MAX2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,261,BEIN SPORT,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,281,BEIN SPORTS,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,243,CANAL +,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,245,CANAL + LIGA 2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,244,CANAL + LIGA MULTI,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,246,CANAL + LIGA PARTIDAZO,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,248,CANAL + PARTIDAZO,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,125,CANAL+ 1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,127,CANAL+ 1 30,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,126,CANAL+ 2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,128,CANAL+ ACCION,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,191,CANAL+ ACCION 30,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,129,CANAL+ COMEDIA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,130,CANAL+ DCINE,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,131,CANAL+ DEPORTES,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,132,CANAL+ FUTBOL,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,136,CANAL+ GOLF,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,133,CANAL+ LIGA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,134,CANAL+ LIGA 2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,137,CANAL+ LIGA DE CAMPEONES,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,197,CANAL+ SERIES,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,135,CANAL+ XTRA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,138,CAZA Y PESCA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,176,DCINE ESPAÑOL,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,283,LALIGA 123TV,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,284,LALIGA 123TV MULTI1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,285,LALIGA 123TV MULTI2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,286,LALIGA 123TV MULTI3,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,287,LALIGA 123TV MULTI4,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,269,MOVISTAR ACCIÓN,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,272,MOVISTAR CINE ESPAÑOL,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,270,MOVISTAR COMEDIA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,271,MOVISTAR DCINE,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,274,MOVISTAR DEPORTES 1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,275,MOVISTAR DEPORTES 2,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,294,MOVISTAR DISNEY,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,295,MOVISTAR Esports,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,266,MOVISTAR ESTRENOS,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,241,MOVISTAR F1,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,296,MOVISTAR FAMA 24H,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,273,MOVISTAR FÚTBOL,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,276,MOVISTAR GOLF,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,242,MOVISTAR MOTO GP,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,278,MOVISTAR PARTIDAZO,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,267,MOVISTAR SERIES,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,268,MOVISTAR SERIES XTRA,0,01/01/1999,31/12/2999
,,MOVISTAR +,,,,277,MOVISTAR XTRA,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,108,3/24,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,88,7RM,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,167,8MADRID,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,89,8TV,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,168,ANDALUCIA TV,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,238,AND-TV,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,85,ATV,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,181,CANAL 33,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,75,CANAL 9,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,72,CANAL SUR,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,236,CANAL SUR HD,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,282,CMM,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,82,CMT,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,113,CMT2,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,81,CS2,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,239,CSUR-AND,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,175,CYL7,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,110,ESPORT3,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,76,ETB1,1,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,77,ETB2,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,111,ETB3,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,178,ETB4,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,179,G2,0,01/01/1999,31/12/2999
,,AUTONOMICAS,,AUTONOMICAS,,87,IB3,1,01/01/1999,31/12/2999
