NORMAL,,OTROS NO SOLAPADO,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
NORMAL,,PUBLIRREPORTAJE,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
NORMAL,,SPOT,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
PATROCINIO,,OTROS SOLAPADO,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
PATROCINIO,,SPOT,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
TELEVENTA,,SPOT,,NA,CONVENCIONAL,CONVENCIONAL,CONVENCIONAL,01/01/2000,31/12/2999
NORMAL,,MORPHING,,NA,IIEE,MORPHING,IIEE 12',01/01/2000,31/12/2999
PATROCINIO,,MORPHING,,NA,IIEE,MORPHING,IIEE 12',01/01/2000,31/12/2999
INTERÉS SOCIAL,,CARTÓN,,NA,IIEE,PATROCINIO,IIEE 3',01/01/2000,31/12/2999
NORMAL,,CARTÓN,,NA,IIEE,PATROCINIO,IIEE 3',01/01/2000,31/12/2999
PATROCINIO,,AUTOPROMOCIÓN,,NA,IIEE,PATROCINIO,NO COMPUTA,01/01/2000,31/12/2999
PATROCINIO,,CARTÓN,,NA,IIEE,PATROCINIO,NO COMPUTA,01/01/2000,31/12/2999
PATROCINIO,,MARCO,,NA,IIEE,PATROCINIO,NO COMPUTA,01/01/2000,31/12/2999
INTERÉS SOCIAL,,MICROESPACIOS,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
INTERÉS SOCIAL,,SOBREIMPRESIONES,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
NORMAL,,AUTOPROMOCIÓN,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
NORMAL,,MICROESPACIOS,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
NORMAL,,PUBLICIDAD VIRTUAL,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
NORMAL,,RELOJ MARCADOR,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
NORMAL,,SOBREIMPRESIONES,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
PATROCINIO,,SOBREIMPRESIONES,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
TELEVENTA,,MICROESPACIOS,,NA,IIEE,RESTO IIEE,IIEE 12',01/01/2000,31/12/2999
INTERÉS SOCIAL,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
INTERÉS SOCIAL,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
NORMAL,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
NORMAL,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
TELEVENTA,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
TELEVENTA,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 12',01/01/2000,31/12/2999
INTERÉS SOCIAL,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
INTERÉS SOCIAL,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
NORMAL,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
NORMAL,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
TELEVENTA,,PRESENTACIÓN INTEGRADA,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
TELEVENTA,,TELEPROMOCIÓN,,NA,IIEE,TELEPROMOCIÓN,IIEE 3',01/01/2000,31/12/2999
MERCHANDISING,,AUTOPROMOCIÓN,,NA,SIN ESPECIFICAR,SIN ESPECIFICAR,SIN ESPECIFICAR,01/01/2000,31/12/2999
MERCHANDISING,,CARTÓN,,NA,SIN ESPECIFICAR,SIN ESPECIFICAR,SIN ESPECIFICAR,01/01/2000,31/12/2999
MERCHANDISING,,PRESENTACIÓN INTEGRADA,,NA,SIN ESPECIFICAR,SIN ESPECIFICAR,SIN ESPECIFICAR,01/01/2000,31/12/2999
MERCHANDISING,,SOBREIMPRESIONES,,NA,SIN ESPECIFICAR,SIN ESPECIFICAR,SIN ESPECIFICAR,01/01/2000,31/12/2999
MERCHANDISING,,TELEPROMOCIÓN,,NA,SIN ESPECIFICAR,SIN ESPECIFICAR,SIN ESPECIFICAR,01/01/2000,31/12/2999
